,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
0,1.0,0.0,-468.881,0.1502,0.0002258,8.626e-05,0.003955,0.0,-1.0,0.000158,20.0,0.0
1,2.0,-1.0,-451.722,0.1519,0.0002637,9.21e-05,0.00412,0.0,-1.0,0.000165,20.0,0.0
2,3.0,-2.0,-435.507,0.1534,0.0002995,9.763e-05,0.004411,0.0,-1.0,0.000177,20.0,0.0
3,4.0,-3.0,-420.167,0.1549,0.0003334,0.0001028,0.004633,0.0,-1.0,0.000186,20.0,0.0
4,5.0,-4.0,-405.639,0.1563,0.0003655,0.0001078,0.004795,0.0,-1.0,0.000192,20.0,0.0
5,6.0,-5.0,-391.864,0.1576,0.0003959,0.0001125,0.004985,0.0,-1.0,0.0002,20.0,0.0
6,7.0,-6.0,-378.791,0.1591,0.00045,0.0001187,0.005338,0.0,-1.0,0.000214,20.0,0.0
7,8.0,-7.0,-366.371,0.1608,0.0005253,0.0001262,0.005817,0.0,-1.0,0.000233,20.0,0.0
8,9.0,-8.0,-354.561,0.1624,0.0005969,0.0001334,0.006263,0.0,-1.0,0.000251,20.0,0.0
9,10.0,-9.0,-343.321,0.164,0.000665,0.0001402,0.006616,0.0,-1.0,0.000265,20.0,0.0
10,11.0,-10.0,-332.612,0.1654,0.0007299,0.0001468,0.006889,0.0,-1.0,0.000276,20.0,0.0
11,12.0,-11.0,-322.403,0.1668,0.0007917,0.000153,0.007093,0.0,-1.0,0.000284,20.0,0.0
12,13.0,-12.0,-312.66,0.1682,0.0008508,0.0001589,0.007283,0.0,-1.0,0.000292,20.0,0.0
13,14.0,-13.0,-303.357,0.1696,0.0009284,0.0001655,0.007647,0.0,-1.0,0.000306,20.0,0.0
14,15.0,-14.0,-294.465,0.1713,0.001075,0.0001751,0.008253,0.0,-1.0,0.000331,20.0,0.0
15,16.0,-15.0,-285.96,0.1729,0.001216,0.0001842,0.008881,0.0,-1.0,0.000356,20.0,0.0
16,17.0,-16.0,-277.82,0.1745,0.001351,0.000193,0.009391,0.0,-1.0,0.000376,20.0,0.0
17,18.0,-17.0,-270.023,0.176,0.00148,0.0002014,0.009798,0.0,-1.0,0.000393,20.0,0.0
18,19.0,-18.0,-262.55,0.1775,0.001603,0.0002094,0.01012,0.0,-1.0,0.000405,20.0,0.0
19,20.0,-19.0,-255.383,0.1789,0.001722,0.0002171,0.01035,0.0,-1.0,0.000415,20.0,0.0
20,21.0,-20.0,-248.504,0.1802,0.001835,0.0002245,0.01053,0.0,-1.0,0.000422,20.0,0.0
21,22.0,-21.0,-241.898,0.1815,0.001948,0.0002317,0.01089,0.0,-1.0,0.000436,20.0,0.0
22,23.0,-22.0,-235.551,0.1832,0.002232,0.0002437,0.01163,0.0,-1.0,0.000466,20.0,0.0
23,24.0,-23.0,-229.448,0.1849,0.002505,0.0002553,0.01246,0.0,-1.0,0.000499,20.0,0.0
24,25.0,-24.0,-223.577,0.1865,0.002768,0.0002663,0.01315,0.0,-1.0,0.000527,20.0,0.0
25,26.0,-25.0,-217.925,0.1881,0.003021,0.000277,0.01371,0.0,-1.0,0.000549,20.0,0.0
26,27.0,-26.0,-212.482,0.1896,0.003264,0.0002873,0.01416,0.0,-1.0,0.000567,20.0,0.0
27,28.0,-27.0,-207.238,0.191,0.003499,0.0002972,0.0145,0.0,-1.0,0.000581,20.0,0.0
28,29.0,-28.0,-202.182,0.1924,0.003725,0.0003067,0.01476,0.0,-1.0,0.000591,20.0,0.0
29,30.0,-29.0,-197.304,0.1937,0.003944,0.000316,0.01494,0.0,-1.0,0.000598,20.0,0.0
30,31.0,-30.0,-192.598,0.195,0.004154,0.0003248,0.01529,0.0,-1.0,0.000613,20.0,0.0
31,32.0,-31.0,-188.053,0.1967,0.004638,0.0003386,0.0161,0.0,-1.0,0.000645,20.0,0.0
32,33.0,-32.0,-183.663,0.1984,0.005163,0.0003529,0.01709,0.0,-1.0,0.000685,20.0,0.0
33,34.0,-33.0,-179.421,0.2,0.005671,0.0003668,0.01796,0.0,-1.0,0.000719,20.0,0.0
34,35.0,-34.0,-175.319,0.2016,0.006162,0.0003802,0.01867,0.0,-1.0,0.000748,20.0,0.0
