 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   2. 1.2023    Time:  10:36:27
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000    -468.881 0.1502   0.2258E-03  0.8626E-04  0.3955E-02  0.0000E+00      -1   0.158E-03   20.00
   2    -1.0000    -451.722 0.1519   0.2637E-03  0.9210E-04  0.4120E-02  0.0000E+00      -1   0.165E-03   20.00
   3    -2.0000    -435.507 0.1534   0.2995E-03  0.9763E-04  0.4411E-02  0.0000E+00      -1   0.177E-03   20.00
   4    -3.0000    -420.167 0.1549   0.3334E-03  0.1028E-03  0.4633E-02  0.0000E+00      -1   0.186E-03   20.00
   5    -4.0000    -405.639 0.1563   0.3655E-03  0.1078E-03  0.4795E-02  0.0000E+00      -1   0.192E-03   20.00
   6    -5.0000    -391.864 0.1576   0.3959E-03  0.1125E-03  0.4985E-02  0.0000E+00      -1   0.200E-03   20.00
   7    -6.0000    -378.791 0.1591   0.4500E-03  0.1187E-03  0.5338E-02  0.0000E+00      -1   0.214E-03   20.00
   8    -7.0000    -366.371 0.1608   0.5253E-03  0.1262E-03  0.5817E-02  0.0000E+00      -1   0.233E-03   20.00
   9    -8.0000    -354.561 0.1624   0.5969E-03  0.1334E-03  0.6263E-02  0.0000E+00      -1   0.251E-03   20.00
  10    -9.0000    -343.321 0.1640   0.6650E-03  0.1402E-03  0.6616E-02  0.0000E+00      -1   0.265E-03   20.00
  11   -10.0000    -332.612 0.1654   0.7299E-03  0.1468E-03  0.6889E-02  0.0000E+00      -1   0.276E-03   20.00
  12   -11.0000    -322.403 0.1668   0.7917E-03  0.1530E-03  0.7093E-02  0.0000E+00      -1   0.284E-03   20.00
  13   -12.0000    -312.660 0.1682   0.8508E-03  0.1589E-03  0.7283E-02  0.0000E+00      -1   0.292E-03   20.00
  14   -13.0000    -303.357 0.1696   0.9284E-03  0.1655E-03  0.7647E-02  0.0000E+00      -1   0.306E-03   20.00
  15   -14.0000    -294.465 0.1713   0.1075E-02  0.1751E-03  0.8253E-02  0.0000E+00      -1   0.331E-03   20.00
