,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
5,6.0,-5.0,-391.864,0.1576,0.0003959,0.0001125,0.004985,0.0,-1.0,0.0002,20.0,0.0
110,6.0,-5.0,-391.608,0.1576,0.0003965,0.0001126,0.005031,0.0,-1.0,0.000202,20.0,0.1
215,6.0,-5.0,-391.381,0.1577,0.000397,0.0001127,0.005106,0.0,-1.0,0.000205,20.0,0.2
320,6.0,-5.0,-391.293,0.1577,0.0003972,0.0001127,0.00527,0.0,-1.0,0.000211,20.0,0.30000000000000004
425,6.0,-5.0,-391.399,0.1577,0.0003969,0.0001127,0.005517,0.0,-1.0,0.000221,20.0,0.4
530,6.0,-5.0,-391.825,0.1576,0.0003959,0.0001125,0.005857,0.0,-1.0,0.000235,20.0,0.5
635,6.0,-5.0,-392.589,0.1575,0.0003945,0.0001123,0.006306,0.0,-1.0,0.000253,20.0,0.6000000000000001
740,6.0,-5.0,-393.627,0.1574,0.000392,0.0001119,0.006792,0.0,-1.0,0.000272,20.0,0.7000000000000001
845,6.0,-5.0,-394.976,0.1573,0.000389,0.0001114,0.007321,0.0,-1.0,0.000293,20.0,0.8
950,6.0,-5.0,-396.594,0.1572,0.0003856,0.0001109,0.00786,0.0,-1.0,0.000315,20.0,0.9
1055,6.0,-5.0,-398.403,0.157,0.0003815,0.0001103,0.008382,0.0,-1.0,0.000336,20.0,1.0
1160,6.0,-5.0,-400.33,0.1568,0.0003772,0.0001096,0.00889,0.0,-1.0,0.000356,20.0,1.1
1265,6.0,-5.0,-402.557,0.1566,0.0003723,0.0001089,0.009477,0.0,-1.0,0.00038,20.0,1.2000000000000002
1370,6.0,-5.0,-405.038,0.1564,0.0003668,0.000108,0.01006,0.0,-1.0,0.000403,20.0,1.3
1475,6.0,-5.0,-407.694,0.1561,0.000361,0.0001071,0.01055,0.0,-1.0,0.000423,20.0,1.4000000000000001
1580,6.0,-5.0,-410.399,0.1558,0.000355,0.0001062,0.01097,0.0,-1.0,0.00044,20.0,1.5
1685,6.0,-5.0,-413.107,0.1556,0.000349,0.0001053,0.01131,0.0,-1.0,0.000453,20.0,1.6
1790,6.0,-5.0,-415.818,0.1553,0.000343,0.0001043,0.01156,0.0,-1.0,0.000463,20.0,1.7000000000000002
1895,6.0,-5.0,-418.45,0.1551,0.0003372,0.0001034,0.01177,0.0,-1.0,0.000472,20.0,1.8
2000,6.0,-5.0,-420.984,0.1548,0.0003316,0.0001026,0.01194,0.0,-1.0,0.000478,20.0,1.9000000000000001
2105,6.0,-5.0,-423.4,0.1546,0.0003262,0.0001017,0.01208,0.0,-1.0,0.000484,20.0,2.0
2210,6.0,-5.0,-425.691,0.1544,0.0003212,0.000101,0.01217,0.0,-1.0,0.000488,20.0,2.1
2315,6.0,-5.0,-427.856,0.1542,0.0003164,0.0001002,0.01224,0.0,-1.0,0.00049,20.0,2.2
2420,6.0,-5.0,-429.896,0.154,0.0003119,9.953e-05,0.01229,0.0,-1.0,0.000492,20.0,2.3000000000000003
