,node,z,head,psi,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
5,6,-5.00 ,-391.864,5.970914841,0.1576,0.0003959,0.0001125,0.004985,0,-1,0.0002,20,0
110,6,-5.00 ,-391.608,5.970261339,0.1576,0.0003965,0.0001126,0.005031,0,-1,0.000202,20,0.1
215,6,-5.00 ,-391.381,5.96968151,0.1577,0.000397,0.0001127,0.005106,0,-1,0.000205,20,0.2
320,6,-5.00 ,-391.293,5.96945664,0.1577,0.0003972,0.0001127,0.00527,0,-1,0.000211,20,0.3
425,6,-5.00 ,-391.399,5.9697275,0.1577,0.0003969,0.0001127,0.005517,0,-1,0.000221,20,0.4
530,6,-5.00 ,-391.825,5.970815312,0.1576,0.0003959,0.0001125,0.005857,0,-1,0.000235,20,0.5
635,6,-5.00 ,-392.589,5.972763263,0.1575,0.0003945,0.0001123,0.006306,0,-1,0.000253,20,0.6
740,6,-5.00 ,-393.627,5.97540376,0.1574,0.000392,0.0001119,0.006792,0,-1,0.000272,20,0.7
845,6,-5.00 ,-394.976,5.978825004,0.1573,0.000389,0.0001114,0.007321,0,-1,0.000293,20,0.8
950,6,-5.00 ,-396.594,5.982913087,0.1572,0.0003856,0.0001109,0.00786,0,-1,0.000315,20,0.9
1055,6,-5.00 ,-398.403,5.987464056,0.157,0.0003815,0.0001103,0.008382,0,-1,0.000336,20,1
1160,6,-5.00 ,-400.33,5.992289207,0.1568,0.0003772,0.0001096,0.00889,0,-1,0.000356,20,1.1
1265,6,-5.00 ,-402.557,5.997836702,0.1566,0.0003723,0.0001089,0.009477,0,-1,0.00038,20,1.2
1370,6,-5.00 ,-405.038,6.00398089,0.1564,0.0003668,0.000108,0.01006,0,-1,0.000403,20,1.3
1475,6,-5.00 ,-407.694,6.010516893,0.1561,0.000361,0.0001071,0.01055,0,-1,0.000423,20,1.4
1580,6,-5.00 ,-410.399,6.017129857,0.1558,0.000355,0.0001062,0.01097,0,-1,0.00044,20,1.5
