,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
15,16.0,-15.0,-285.96,0.1729,0.001216,0.0001842,0.008881,0.0,-1.0,0.000356,20.0,0.0
120,16.0,-15.0,-285.677,0.173,0.001221,0.0001845,0.008859,0.0,-1.0,0.000355,20.0,0.1
225,16.0,-15.0,-285.411,0.173,0.001225,0.0001848,0.008854,0.0,-1.0,0.000355,20.0,0.2
330,16.0,-15.0,-285.161,0.1731,0.001229,0.0001851,0.008856,0.0,-1.0,0.000355,20.0,0.30000000000000004
435,16.0,-15.0,-284.92,0.1731,0.001233,0.0001853,0.008862,0.0,-1.0,0.000355,20.0,0.4
540,16.0,-15.0,-284.685,0.1732,0.001237,0.0001856,0.008871,0.0,-1.0,0.000355,20.0,0.5
645,16.0,-15.0,-284.455,0.1732,0.001241,0.0001858,0.008883,0.0,-1.0,0.000356,20.0,0.6000000000000001
750,16.0,-15.0,-284.227,0.1733,0.001245,0.0001861,0.008896,0.0,-1.0,0.000356,20.0,0.7000000000000001
855,16.0,-15.0,-284.001,0.1733,0.001248,0.0001863,0.008911,0.0,-1.0,0.000357,20.0,0.8
960,16.0,-15.0,-283.776,0.1734,0.001252,0.0001866,0.008928,0.0,-1.0,0.000358,20.0,0.9
1065,16.0,-15.0,-283.551,0.1734,0.001256,0.0001868,0.008944,0.0,-1.0,0.000358,20.0,1.0
1170,16.0,-15.0,-283.326,0.1735,0.00126,0.000187,0.008962,0.0,-1.0,0.000359,20.0,1.1
1275,16.0,-15.0,-283.102,0.1735,0.001263,0.0001873,0.00898,0.0,-1.0,0.00036,20.0,1.2000000000000002
1380,16.0,-15.0,-282.878,0.1735,0.001267,0.0001875,0.008999,0.0,-1.0,0.000361,20.0,1.3
1485,16.0,-15.0,-282.655,0.1736,0.001271,0.0001878,0.009019,0.0,-1.0,0.000361,20.0,1.4000000000000001
1590,16.0,-15.0,-282.432,0.1736,0.001274,0.000188,0.00904,0.0,-1.0,0.000362,20.0,1.5
1695,16.0,-15.0,-282.209,0.1737,0.001278,0.0001882,0.009062,0.0,-1.0,0.000363,20.0,1.6
1800,16.0,-15.0,-281.988,0.1737,0.001282,0.0001885,0.009084,0.0,-1.0,0.000364,20.0,1.7000000000000002
1905,16.0,-15.0,-281.767,0.1738,0.001285,0.0001887,0.009108,0.0,-1.0,0.000365,20.0,1.8
2010,16.0,-15.0,-281.548,0.1738,0.001289,0.000189,0.009132,0.0,-1.0,0.000366,20.0,1.9000000000000001
2115,16.0,-15.0,-281.33,0.1738,0.001293,0.0001892,0.009158,0.0,-1.0,0.000367,20.0,2.0
2220,16.0,-15.0,-281.114,0.1739,0.001296,0.0001894,0.009185,0.0,-1.0,0.000368,20.0,2.1
2325,16.0,-15.0,-280.9,0.1739,0.0013,0.0001897,0.009214,0.0,-1.0,0.000369,20.0,2.2
2430,16.0,-15.0,-280.688,0.174,0.001303,0.0001899,0.009244,0.0,-1.0,0.00037,20.0,2.3000000000000003
2535,16.0,-15.0,-280.479,0.174,0.001307,0.0001901,0.009275,0.0,-1.0,0.000372,20.0,2.4000000000000004
2640,16.0,-15.0,-280.273,0.174,0.00131,0.0001903,0.009308,0.0,-1.0,0.000373,20.0,2.5
2745,16.0,-15.0,-280.07,0.1741,0.001313,0.0001906,0.009343,0.0,-1.0,0.000374,20.0,2.6
2850,16.0,-15.0,-279.869,0.1741,0.001317,0.0001908,0.009378,0.0,-1.0,0.000376,20.0,2.7
2955,16.0,-15.0,-279.672,0.1742,0.00132,0.000191,0.009416,0.0,-1.0,0.000377,20.0,2.8000000000000003
3060,16.0,-15.0,-279.478,0.1742,0.001323,0.0001912,0.009454,0.0,-1.0,0.000379,20.0,2.9000000000000004
3165,16.0,-15.0,-279.288,0.1742,0.001326,0.0001914,0.009493,0.0,-1.0,0.00038,20.0,3.0
3270,16.0,-15.0,-279.101,0.1743,0.001329,0.0001916,0.009534,0.0,-1.0,0.000382,20.0,3.1
3375,16.0,-15.0,-278.917,0.1743,0.001333,0.0001918,0.009575,0.0,-1.0,0.000384,20.0,3.2
3480,16.0,-15.0,-278.738,0.1743,0.001336,0.000192,0.009616,0.0,-1.0,0.000385,20.0,3.3000000000000003
3585,16.0,-15.0,-278.561,0.1744,0.001338,0.0001922,0.009658,0.0,-1.0,0.000387,20.0,3.4000000000000004
3690,16.0,-15.0,-278.389,0.1744,0.001341,0.0001924,0.009701,0.0,-1.0,0.000389,20.0,3.5
3795,16.0,-15.0,-278.22,0.1744,0.001344,0.0001925,0.009744,0.0,-1.0,0.00039,20.0,3.6
3900,16.0,-15.0,-278.054,0.1745,0.001347,0.0001927,0.009788,0.0,-1.0,0.000392,20.0,3.7
4005,16.0,-15.0,-277.892,0.1745,0.001349,0.0001929,0.009833,0.0,-1.0,0.000394,20.0,3.8000000000000003
4110,16.0,-15.0,-277.732,0.1745,0.001352,0.0001931,0.009878,0.0,-1.0,0.000396,20.0,3.9000000000000004
4215,16.0,-15.0,-277.575,0.1746,0.001355,0.0001932,0.009923,0.0,-1.0,0.000398,20.0,4.0
4320,16.0,-15.0,-277.421,0.1746,0.001357,0.0001934,0.009969,0.0,-1.0,0.000399,20.0,4.1000000000000005
4425,16.0,-15.0,-277.269,0.1746,0.00136,0.0001936,0.01001,0.0,-1.0,0.000401,20.0,4.2
4530,16.0,-15.0,-277.12,0.1747,0.001362,0.0001937,0.01006,0.0,-1.0,0.000403,20.0,4.3
4635,16.0,-15.0,-276.974,0.1747,0.001365,0.0001939,0.01011,0.0,-1.0,0.000405,20.0,4.4
