,node,z,head,psi,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
15,16,-15.00 ,-285.96,5.655851941,0.1729,0.001216,0.0001842,0.008881,0,-1,0.000356,20,0
120,16,-15.00 ,-285.677,5.654861802,0.173,0.001221,0.0001845,0.008859,0,-1,0.000355,20,0.1
225,16,-15.00 ,-285.411,5.653930247,0.173,0.001225,0.0001848,0.008854,0,-1,0.000355,20,0.2
330,16,-15.00 ,-285.161,5.653053933,0.1731,0.001229,0.0001851,0.008856,0,-1,0.000355,20,0.3
435,16,-15.00 ,-284.92,5.652208439,0.1731,0.001233,0.0001853,0.008862,0,-1,0.000355,20,0.4
540,16,-15.00 ,-284.685,5.651383306,0.1732,0.001237,0.0001856,0.008871,0,-1,0.000355,20,0.5
645,16,-15.00 ,-284.455,5.650575069,0.1732,0.001241,0.0001858,0.008883,0,-1,0.000356,20,0.6
750,16,-15.00 ,-284.227,5.649773215,0.1733,0.001245,0.0001861,0.008896,0,-1,0.000356,20,0.7
855,16,-15.00 ,-284.001,5.648977759,0.1733,0.001248,0.0001863,0.008911,0,-1,0.000357,20,0.8
960,16,-15.00 ,-283.776,5.648185195,0.1734,0.001252,0.0001866,0.008928,0,-1,0.000358,20,0.9
1065,16,-15.00 ,-283.551,5.647392001,0.1734,0.001256,0.0001868,0.008944,0,-1,0.000358,20,1
1170,16,-15.00 ,-283.326,5.646598178,0.1735,0.00126,0.000187,0.008962,0,-1,0.000359,20,1.1
1275,16,-15.00 ,-283.102,5.645807257,0.1735,0.001263,0.0001873,0.00898,0,-1,0.00036,20,1.2
1380,16,-15.00 ,-282.878,5.645015709,0.1735,0.001267,0.0001875,0.008999,0,-1,0.000361,20,1.3
1485,16,-15.00 ,-282.655,5.644227073,0.1736,0.001271,0.0001878,0.009019,0,-1,0.000361,20,1.4
1590,16,-15.00 ,-282.432,5.643437814,0.1736,0.001274,0.000188,0.00904,0,-1,0.000362,20,1.5
1695,16,-15.00 ,-282.209,5.642647931,0.1737,0.001278,0.0001882,0.009062,0,-1,0.000363,20,1.6
1800,16,-15.00 ,-281.988,5.641864517,0.1737,0.001282,0.0001885,0.009084,0,-1,0.000364,20,1.7
1905,16,-15.00 ,-281.767,5.641080488,0.1738,0.001285,0.0001887,0.009108,0,-1,0.000365,20,1.8
2010,16,-15.00 ,-281.548,5.640302948,0.1738,0.001289,0.000189,0.009132,0,-1,0.000366,20,1.9
2115,16,-15.00 ,-281.33,5.639528358,0.1738,0.001293,0.0001892,0.009158,0,-1,0.000367,20,2
2220,16,-15.00 ,-281.114,5.638760281,0.1739,0.001296,0.0001894,0.009185,0,-1,0.000368,20,2.1
2325,16,-15.00 ,-280.9,5.637998734,0.1739,0.0013,0.0001897,0.009214,0,-1,0.000369,20,2.2
2430,16,-15.00 ,-280.688,5.637243732,0.174,0.001303,0.0001899,0.009244,0,-1,0.00037,20,2.3
2535,16,-15.00 ,-280.479,5.636498856,0.174,0.001307,0.0001901,0.009275,0,-1,0.000372,20,2.4
2640,16,-15.00 ,-280.273,5.635764128,0.174,0.00131,0.0001903,0.009308,0,-1,0.000373,20,2.5
2745,16,-15.00 ,-280.07,5.635039572,0.1741,0.001313,0.0001906,0.009343,0,-1,0.000374,20,2.6
2850,16,-15.00 ,-279.869,5.634321637,0.1741,0.001317,0.0001908,0.009378,0,-1,0.000376,20,2.7
2955,16,-15.00 ,-279.672,5.633617488,0.1742,0.00132,0.000191,0.009416,0,-1,0.000377,20,2.8
3060,16,-15.00 ,-279.478,5.632923578,0.1742,0.001323,0.0001912,0.009454,0,-1,0.000379,20,2.9
3165,16,-15.00 ,-279.288,5.632243507,0.1742,0.001326,0.0001914,0.009493,0,-1,0.00038,20,3
3270,16,-15.00 ,-279.101,5.631573723,0.1743,0.001329,0.0001916,0.009534,0,-1,0.000382,20,3.1
3375,16,-15.00 ,-278.917,5.630914247,0.1743,0.001333,0.0001918,0.009575,0,-1,0.000384,20,3.2
3480,16,-15.00 ,-278.738,5.630272273,0.1743,0.001336,0.000192,0.009616,0,-1,0.000385,20,3.3
3585,16,-15.00 ,-278.561,5.629637066,0.1744,0.001338,0.0001922,0.009658,0,-1,0.000387,20,3.4
3690,16,-15.00 ,-278.389,5.629019416,0.1744,0.001341,0.0001924,0.009701,0,-1,0.000389,20,3.5
3795,16,-15.00 ,-278.22,5.628412168,0.1744,0.001344,0.0001925,0.009744,0,-1,0.00039,20,3.6
3900,16,-15.00 ,-278.054,5.627815339,0.1745,0.001347,0.0001927,0.009788,0,-1,0.000392,20,3.7
4005,16,-15.00 ,-277.892,5.627232549,0.1745,0.001349,0.0001929,0.009833,0,-1,0.000394,20,3.8
4110,16,-15.00 ,-277.732,5.62665662,0.1745,0.001352,0.0001931,0.009878,0,-1,0.000396,20,3.9
4215,16,-15.00 ,-277.575,5.626091167,0.1746,0.001355,0.0001932,0.009923,0,-1,0.000398,20,4
4320,16,-15.00 ,-277.421,5.625536208,0.1746,0.001357,0.0001934,0.009969,0,-1,0.000399,20,4.1
4425,16,-15.00 ,-277.269,5.624988154,0.1746,0.00136,0.0001936,0.01001,0,-1,0.000401,20,4.2
4530,16,-15.00 ,-277.12,5.624450625,0.1747,0.001362,0.0001937,0.01006,0,-1,0.000403,20,4.3
4635,16,-15.00 ,-276.974,5.623923639,0.1747,0.001365,0.0001939,0.01011,0,-1,0.000405,20,4.4
4740,16,-15.00 ,-276.829,5.623399987,0.1747,0.001367,0.000194,0.01015,0,-1,0.000407,20,4.5
4845,16,-15.00 ,-276.687,5.622886903,0.1747,0.001369,0.0001942,0.0102,0,-1,0.000409,20,4.6
4950,16,-15.00 ,-276.548,5.622384404,0.1748,0.001372,0.0001943,0.01025,0,-1,0.000411,20,4.7
