 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2022    Time:  10:20:35
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000     -62.588 0.1505   0.3342E-01  0.1166E-02  0.9767E-02  0.0000E+00      -1   0.921E-04   20.00
   2    -1.0000     -61.304 0.1518   0.3528E-01  0.1200E-02  0.9209E-02  0.0000E+00      -1   0.868E-04   20.00
   3    -2.0000     -60.065 0.1530   0.3709E-01  0.1233E-02  0.8216E-02  0.0000E+00      -1   0.774E-04   20.00
   4    -3.0000     -58.869 0.1548   0.4223E-01  0.1288E-02  0.7382E-02  0.0000E+00      -1   0.696E-04   20.00
   5    -4.0000     -57.713 0.1565   0.4755E-01  0.1344E-02  0.6422E-02  0.0000E+00      -1   0.605E-04   20.00
   6    -5.0000     -56.596 0.1582   0.5269E-01  0.1398E-02  0.5146E-02  0.0000E+00      -1   0.485E-04   20.00
   7    -6.0000     -55.516 0.1598   0.5767E-01  0.1450E-02  0.3579E-02  0.0000E+00      -1   0.337E-04   20.00
   8    -7.0000     -54.471 0.1614   0.6248E-01  0.1501E-02  0.1760E-02  0.0000E+00      -1   0.166E-04   20.00
   9    -8.0000     -53.458 0.1629   0.6714E-01  0.1549E-02 -0.2768E-03  0.0000E+00      -1  -0.261E-05   20.00
  10    -9.0000     -52.478 0.1644   0.7166E-01  0.1597E-02 -0.2500E-02  0.0000E+00      -1  -0.236E-04   20.00
  11   -10.0000     -51.527 0.1658   0.7603E-01  0.1642E-02 -0.4885E-02  0.0000E+00      -1  -0.460E-04   20.00
  12   -11.0000     -50.605 0.1672   0.8028E-01  0.1687E-02 -0.7407E-02  0.0000E+00      -1  -0.698E-04   20.00
  13   -12.0000     -49.711 0.1686   0.8440E-01  0.1730E-02 -0.1005E-01  0.0000E+00      -1  -0.947E-04   20.00
  14   -13.0000     -48.843 0.1699   0.8840E-01  0.1772E-02 -0.1278E-01  0.0000E+00      -1  -0.120E-03   20.00
  15   -14.0000     -48.000 0.1712   0.9228E-01  0.1813E-02 -0.1574E-01  0.0000E+00      -1  -0.148E-03   20.00
