,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
0,1,0,-62.588,0.1505,0.03342,0.001166,0.009767,0,-1,9.21E-05,20,0
1,2,-1,-61.304,0.1518,0.03528,0.0012,0.009209,0,-1,8.68E-05,20,0
2,3,-2,-60.065,0.153,0.03709,0.001233,0.008216,0,-1,7.74E-05,20,0
3,4,-3,-58.869,0.1548,0.04223,0.001288,0.007382,0,-1,6.96E-05,20,0
4,5,-4,-57.713,0.1565,0.04755,0.001344,0.006422,0,-1,6.05E-05,20,0
5,6,-5,-56.596,0.1582,0.05269,0.001398,0.005146,0,-1,4.85E-05,20,0
6,7,-6,-55.516,0.1598,0.05767,0.00145,0.003579,0,-1,3.37E-05,20,0
7,8,-7,-54.471,0.1614,0.06248,0.001501,0.00176,0,-1,1.66E-05,20,0
8,9,-8,-53.458,0.1629,0.06714,0.001549,-0.0002768,0,-1,-2.61E-06,20,0
9,10,-9,-52.478,0.1644,0.07166,0.001597,-0.0025,0,-1,-2.36E-05,20,0
10,11,-10,-51.527,0.1658,0.07603,0.001642,-0.004885,0,-1,-4.60E-05,20,0
11,12,-11,-50.605,0.1672,0.08028,0.001687,-0.007407,0,-1,-6.98E-05,20,0
12,13,-12,-49.711,0.1686,0.0844,0.00173,-0.01005,0,-1,-9.47E-05,20,0
13,14,-13,-48.843,0.1699,0.0884,0.001772,-0.01278,0,-1,-0.00012,20,0
14,15,-14,-48,0.1712,0.09228,0.001813,-0.01574,0,-1,-0.000148,20,0
15,16,-15,-47.181,0.1726,0.09917,0.001864,-0.01933,0,-1,-0.000182,20,0
16,17,-16,-46.384,0.1744,0.1104,0.001931,-0.02375,0,-1,-0.000224,20,0
17,18,-17,-45.61,0.1761,0.1214,0.001996,-0.0287,0,-1,-0.00027,20,0
18,19,-18,-44.857,0.1778,0.132,0.00206,-0.03392,0,-1,-0.00032,20,0
19,20,-19,-44.123,0.1794,0.1424,0.002122,-0.03938,0,-1,-0.000371,20,0
20,21,-20,-43.409,0.181,0.1524,0.002182,-0.04505,0,-1,-0.000425,20,0
21,22,-21,-42.714,0.1825,0.1623,0.002241,-0.0509,0,-1,-0.00048,20,0
22,23,-22,-42.036,0.184,0.1718,0.002298,-0.05689,0,-1,-0.000536,20,0
23,24,-23,-41.376,0.1855,0.1812,0.002354,-0.06301,0,-1,-0.000594,20,0
24,25,-24,-40.732,0.1869,0.1903,0.002408,-0.06924,0,-1,-0.000653,20,0
25,26,-25,-40.103,0.1883,0.1992,0.002461,-0.07555,0,-1,-0.000712,20,0
26,27,-26,-39.49,0.1897,0.2078,0.002513,-0.08193,0,-1,-0.000772,20,0
27,28,-27,-38.892,0.191,0.2163,0.002563,-0.08837,0,-1,-0.000833,20,0
28,29,-28,-38.307,0.1923,0.2245,0.002613,-0.09484,0,-1,-0.000894,20,0
29,30,-29,-37.737,0.1935,0.2326,0.002661,-0.1028,0,-1,-0.000969,20,0
30,31,-30,-37.179,0.1952,0.2533,0.002734,-0.1139,0,-1,-0.00107,20,0
31,32,-31,-36.634,0.197,0.2759,0.00281,-0.1272,0,-1,-0.0012,20,0
32,33,-32,-36.101,0.1986,0.298,0.002884,-0.1409,0,-1,-0.00133,20,0
33,34,-33,-35.579,0.2003,0.3196,0.002957,-0.1548,0,-1,-0.00146,20,0
34,35,-34,-35.069,0.2019,0.3407,0.003028,-0.1688,0,-1,-0.00159,20,0
35,36,-35,-34.57,0.2035,0.3614,0.003098,-0.1829,0,-1,-0.00172,20,0
36,37,-36,-34.082,0.205,0.3816,0.003166,-0.1971,0,-1,-0.00186,20,0
37,38,-37,-33.603,0.2066,0.4015,0.003233,-0.2114,0,-1,-0.00199,20,0
38,39,-38,-33.135,0.208,0.4209,0.003298,-0.2257,0,-1,-0.00213,20,0
