,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
5,6.0,-5.0,-56.596,0.1582,0.05269,0.001398,0.005146,0.0,-1.0,4.85e-05,20.0,0.0
110,6.0,-5.0,-56.817,0.1579,0.05168,0.001387,0.009997,0.0,-1.0,9.42e-05,20.0,0.1
215,6.0,-5.0,-57.347,0.1571,0.04924,0.001362,0.01978,0.0,-1.0,0.000186,20.0,0.2
320,6.0,-5.0,-57.995,0.1561,0.04626,0.001331,0.02699,0.0,-1.0,0.000254,20.0,0.30000000000000004
425,6.0,-5.0,-58.709,0.155,0.04297,0.001296,0.0336,0.0,-1.0,0.000317,20.0,0.4
530,6.0,-5.0,-59.431,0.1539,0.03963,0.001261,0.03768,0.0,-1.0,0.000355,20.0,0.5
635,6.0,-5.0,-60.164,0.1529,0.03695,0.001231,0.04071,0.0,-1.0,0.000384,20.0,0.6000000000000001
740,6.0,-5.0,-60.933,0.1522,0.03583,0.00121,0.04326,0.0,-1.0,0.000408,20.0,0.7000000000000001
845,6.0,-5.0,-61.657,0.1514,0.03476,0.001191,0.04514,0.0,-1.0,0.000425,20.0,0.8
950,6.0,-5.0,-62.389,0.1507,0.03371,0.001172,0.04657,0.0,-1.0,0.000439,20.0,0.9
1055,6.0,-5.0,-63.118,0.15,0.03265,0.001152,0.04743,0.0,-1.0,0.000447,20.0,1.0
1160,6.0,-5.0,-64.078,0.149,0.03124,0.001127,0.05343,0.0,-1.0,0.000504,20.0,1.1
1265,6.0,-5.0,-65.341,0.1477,0.02941,0.001093,0.06182,0.0,-1.0,0.000583,20.0,1.2000000000000002
1370,6.0,-5.0,-66.77,0.1463,0.02729,0.001055,0.06891,0.0,-1.0,0.00065,20.0,1.3
1475,6.0,-5.0,-68.262,0.1448,0.02513,0.001015,0.07475,0.0,-1.0,0.000704,20.0,1.4000000000000001
1580,6.0,-5.0,-69.82,0.1432,0.02278,0.0009725,0.0791,0.0,-1.0,0.000746,20.0,1.5
1685,6.0,-5.0,-71.667,0.1413,0.02024,0.0009262,0.08628,0.0,-1.0,0.000813,20.0,1.6
1790,6.0,-5.0,-73.5,0.1395,0.01755,0.0008771,0.08929,0.0,-1.0,0.000842,20.0,1.7000000000000002
1895,6.0,-5.0,-75.402,0.1376,0.01478,0.0008267,0.0913,0.0,-1.0,0.000861,20.0,1.8
2000,6.0,-5.0,-77.484,0.1361,0.0136,0.000794,0.09244,0.0,-1.0,0.000871,20.0,1.9000000000000001
2105,6.0,-5.0,-79.25,0.1349,0.01281,0.000769,0.09079,0.0,-1.0,0.000856,20.0,2.0
2210,6.0,-5.0,-80.758,0.1339,0.01213,0.0007475,0.08764,0.0,-1.0,0.000826,20.0,2.1
2315,6.0,-5.0,-82.051,0.1331,0.01154,0.000729,0.08395,0.0,-1.0,0.000791,20.0,2.2
2420,6.0,-5.0,-83.177,0.1323,0.01104,0.000713,0.08014,0.0,-1.0,0.000755,20.0,2.3000000000000003
2525,6.0,-5.0,-84.151,0.1317,0.0106,0.0006993,0.07712,0.0,-1.0,0.000727,20.0,2.4000000000000004
2630,6.0,-5.0,-85.043,0.1311,0.01021,0.0006867,0.075,0.0,-1.0,0.000707,20.0,2.5
2735,6.0,-5.0,-85.933,0.1305,0.009811,0.0006743,0.07335,0.0,-1.0,0.000691,20.0,2.6
2840,6.0,-5.0,-86.766,0.1299,0.009431,0.0006622,0.07143,0.0,-1.0,0.000673,20.0,2.7
2945,6.0,-5.0,-87.595,0.1294,0.009062,0.0006506,0.06983,0.0,-1.0,0.000658,20.0,2.8000000000000003
3050,6.0,-5.0,-88.393,0.1289,0.008677,0.0006384,0.06801,0.0,-1.0,0.000641,20.0,2.9000000000000004
3155,6.0,-5.0,-89.178,0.1283,0.008349,0.000628,0.06658,0.0,-1.0,0.000628,20.0,3.0
3260,6.0,-5.0,-89.954,0.1278,0.008008,0.0006173,0.06531,0.0,-1.0,0.000616,20.0,3.1
3365,6.0,-5.0,-90.696,0.1273,0.007655,0.0006061,0.06385,0.0,-1.0,0.000602,20.0,3.2
