,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
15,16.0,-15.0,-47.181,0.1726,0.09917,0.001864,-0.01933,0.0,-1.0,-0.000182,20.0,0.0
120,16.0,-15.0,-47.381,0.1722,0.09634,0.001847,-0.01987,0.0,-1.0,-0.000187,20.0,0.1
225,16.0,-15.0,-47.595,0.1718,0.09415,0.001832,-0.02023,0.0,-1.0,-0.000191,20.0,0.2
330,16.0,-15.0,-47.815,0.1714,0.09313,0.001821,-0.02019,0.0,-1.0,-0.00019,20.0,0.30000000000000004
435,16.0,-15.0,-48.042,0.1711,0.09209,0.00181,-0.01977,0.0,-1.0,-0.000186,20.0,0.4
540,16.0,-15.0,-48.283,0.1707,0.09099,0.001799,-0.01889,0.0,-1.0,-0.000178,20.0,0.5
645,16.0,-15.0,-48.55,0.1703,0.08977,0.001786,-0.01838,0.0,-1.0,-0.000173,20.0,0.6000000000000001
750,16.0,-15.0,-48.821,0.1699,0.0885,0.001773,-0.01724,0.0,-1.0,-0.000163,20.0,0.7000000000000001
855,16.0,-15.0,-49.102,0.1695,0.08721,0.001759,-0.01605,0.0,-1.0,-0.000151,20.0,0.8
960,16.0,-15.0,-49.397,0.169,0.08586,0.001745,-0.0151,0.0,-1.0,-0.000142,20.0,0.9
1065,16.0,-15.0,-49.695,0.1686,0.08447,0.001731,-0.01387,0.0,-1.0,-0.000131,20.0,1.0
1170,16.0,-15.0,-50.001,0.1681,0.08306,0.001716,-0.01272,0.0,-1.0,-0.00012,20.0,1.1
1275,16.0,-15.0,-50.316,0.1677,0.08161,0.001701,-0.0115,0.0,-1.0,-0.000108,20.0,1.2000000000000002
1380,16.0,-15.0,-50.64,0.1672,0.08012,0.001685,-0.01002,0.0,-1.0,-9.44e-05,20.0,1.3
1485,16.0,-15.0,-50.976,0.1667,0.07857,0.001669,-0.008532,0.0,-1.0,-8.04e-05,20.0,1.4000000000000001
1590,16.0,-15.0,-51.325,0.1661,0.07696,0.001652,-0.00683,0.0,-1.0,-6.44e-05,20.0,1.5
1695,16.0,-15.0,-51.685,0.1656,0.07531,0.001635,-0.005039,0.0,-1.0,-4.75e-05,20.0,1.6
1800,16.0,-15.0,-52.053,0.165,0.07362,0.001617,-0.003258,0.0,-1.0,-3.07e-05,20.0,1.7000000000000002
1905,16.0,-15.0,-52.432,0.1645,0.07187,0.001599,-0.001364,0.0,-1.0,-1.29e-05,20.0,1.8
2010,16.0,-15.0,-52.823,0.1639,0.07007,0.00158,0.0004843,0.0,-1.0,4.56e-06,20.0,1.9000000000000001
2115,16.0,-15.0,-53.22,0.1633,0.06824,0.001561,0.002281,0.0,-1.0,2.15e-05,20.0,2.0
