 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2022    Time:  10:20:35
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    2        2    -4    -5     T
        2  0.2300000E-02  0.13000E-02    2        4    -4    -5     T
        3  0.3990000E-02  0.16900E-02    2        6    -4    -5     T
        4  0.6187000E-02  0.21970E-02    2        8    -4    -5     T
        5  0.9043100E-02  0.28561E-02    2       10    -4    -5     T
        6  0.1275603E-01  0.37129E-02    2       12    -4    -5     T
        7  0.1758284E-01  0.48268E-02    2       14    -4    -5     T
        8  0.2385769E-01  0.62749E-02    2       16    -4    -5     T
        9  0.3231795E-01  0.84603E-02    2       18    -4    -5     T
       10  0.4359829E-01  0.11280E-01    2       20    -4    -5     T
       11  0.5769872E-01  0.14100E-01    2       22    -4    -5     T
       12  0.7884936E-01  0.21151E-01    2       24    -4    -5     T
       13  0.1000000E+00  0.21151E-01    2       26    -4    -5     T
       14  0.1250000E+00  0.25000E-01    2       28    -4    -5     T
       15  0.1625000E+00  0.37500E-01    2       30    -4    -5     T
       16  0.2000000E+00  0.37500E-01    2       32    -4    -5     T
       17  0.2333333E+00  0.33333E-01    2       34    -4    -5     T
       18  0.3000000E+00  0.66667E-01    2       36    -4    -5     T
       19  0.3500000E+00  0.50000E-01    2       38    -4    -5     T
       20  0.4000000E+00  0.50000E-01    2       40    -4    -5     T
       21  0.5000000E+00  0.10000E+00    2       42    -4    -5     T
       22  0.6000000E+00  0.10000E+00    2       44    -4    -5     T
       23  0.7000000E+00  0.10000E+00    2       46    -4    -5     T
       24  0.8000000E+00  0.10000E+00    2       48    -4    -5     T
       25  0.9000000E+00  0.10000E+00    2       50    -4    -5     T
       26  0.1000000E+01  0.10000E+00    2       52    -4    -5     T
       27  0.1100000E+01  0.10000E+00    4       56    -4    -5     T
       28  0.1200000E+01  0.10000E+00    4       60    -4    -5     T
       29  0.1300000E+01  0.10000E+00    3       63    -4    -5     T
       30  0.1400000E+01  0.10000E+00    3       66    -4    -5     T
       31  0.1500000E+01  0.10000E+00    3       69    -4    -5     T
       32  0.1600000E+01  0.10000E+00    4       73    -4    -5     T
       33  0.1633333E+01  0.33333E-01    3       86    -4    -5     T
       34  0.1666667E+01  0.33333E-01    2       88    -4    -5     T
       35  0.1700000E+01  0.33333E-01    2       90    -4    -5     T
       36  0.1716667E+01  0.16667E-01    2      102     4    -5     T
       37  0.1737500E+01  0.20833E-01    3      105     4    -5     T
       38  0.1768750E+01  0.31250E-01    3      108     4    -5     T
       39  0.1779167E+01  0.10417E-01    2      120     4    -5     T
       40  0.1789583E+01  0.10417E-01    2      122     4    -5     T
       41  0.1800000E+01  0.10417E-01    2      124     4    -5     T
       42  0.1816667E+01  0.16667E-01    2      126     4    -5     T
       43  0.1837500E+01  0.20833E-01    2      128     4    -5     T
       44  0.1868750E+01  0.31250E-01    2      130     4    -5     T
       45  0.1900000E+01  0.31250E-01    2      132     4    -5     T
       46  0.1911111E+01  0.11111E-01    2      144     4    -5     T
       47  0.1925926E+01  0.14815E-01    2      146     4    -5     T
       48  0.1944444E+01  0.18519E-01    2      148     4    -5     T
       49  0.1972222E+01  0.27778E-01    2      150     4    -5     T
       50  0.1981481E+01  0.92593E-02    2      162     4    -5     T
       51  0.1990741E+01  0.92593E-02    2      164     4    -5     T
       52  0.2000000E+01  0.92593E-02    2      166     4    -5     T
       53  0.2016667E+01  0.16667E-01    2      168     4    -5     T
       54  0.2037500E+01  0.20833E-01    2      170     4    -5     T
       55  0.2047917E+01  0.10417E-01    2      182     4    -5     T
       56  0.2060938E+01  0.13021E-01    2      184     4    -5     T
       57  0.2080469E+01  0.19531E-01    2      186     4    -5     T
       58  0.2100000E+01  0.19531E-01    2      188     4    -5     T
       59  0.2125000E+01  0.25000E-01    2      190     4    -5     T
       60  0.2150000E+01  0.25000E-01    2      192     4    -5     T
       61  0.2200000E+01  0.50000E-01    2      194     4    -5     T
       62  0.2250000E+01  0.50000E-01    4      198     4    -5     T
       63  0.2300000E+01  0.50000E-01    2      200     4    -5     T
       64  0.2350000E+01  0.50000E-01    2      202     4    -5     T
       65  0.2400000E+01  0.50000E-01    2      204     4    -5     T
       66  0.2500000E+01  0.10000E+00    2      206     4    -5     T
       67  0.2600000E+01  0.10000E+00    2      208     4    -5     T
       68  0.2700000E+01  0.10000E+00    2      210     4    -5     T
       69  0.2800000E+01  0.10000E+00    2      212     4    -5     T
       70  0.2900000E+01  0.10000E+00    4      216     4    -5     T
       71  0.3000000E+01  0.10000E+00    5      221     4    -5     T
       72  0.3100000E+01  0.10000E+00    2      223     4    -5     T
       73  0.3200000E+01  0.10000E+00    2      225     4    -5     T
       74  0.3300000E+01  0.10000E+00    6      231     4    -5     T
       75  0.3333333E+01  0.33333E-01    2      243     4    -5     T
       76  0.3366667E+01  0.33333E-01    2      245     4    -5     T
       77  0.3400000E+01  0.33333E-01    2      247     4    -5     T
       78  0.3450000E+01  0.50000E-01    2      249     4    -5     T
       79  0.3500000E+01  0.50000E-01    2      251     4    -5     T
       80  0.3600000E+01  0.10000E+00    2      253     4    -5     T
       81  0.3633333E+01  0.33333E-01    2      265     4    -5     T
       82  0.3666667E+01  0.33333E-01    2      267     4    -5     T
       83  0.3700000E+01  0.33333E-01    2      269     4    -5     T
