,node,z,head,theta,psi,K,C,flux,sink,kappa,v/KsTop,temp,time
5,6,-5,-56.596,0.1582,4.035938311,0.05269,0.001398,0.005146,0,-1,4.85E-05,20,0
110,6,-5,-56.817,0.1579,4.039835577,0.05168,0.001387,0.009997,0,-1,9.42E-05,20,0.1
215,6,-5,-57.347,0.1571,4.049120532,0.04924,0.001362,0.01978,0,-1,0.000186,20,0.2
320,6,-5,-57.995,0.1561,4.0603568,0.04626,0.001331,0.02699,0,-1,0.000254,20,0.3
425,6,-5,-58.709,0.155,4.072593037,0.04297,0.001296,0.0336,0,-1,0.000317,20,0.4
530,6,-5,-59.431,0.1539,4.084815976,0.03963,0.001261,0.03768,0,-1,0.000355,20,0.5
635,6,-5,-60.164,0.1529,4.097074167,0.03695,0.001231,0.04071,0,-1,0.000384,20,0.6
740,6,-5,-60.933,0.1522,4.1097749,0.03583,0.00121,0.04326,0,-1,0.000408,20,0.7
845,6,-5,-61.657,0.1514,4.121586767,0.03476,0.001191,0.04514,0,-1,0.000425,20,0.8
950,6,-5,-62.389,0.1507,4.133388978,0.03371,0.001172,0.04657,0,-1,0.000439,20,0.9
1055,6,-5,-63.118,0.15,4.14500599,0.03265,0.001152,0.04743,0,-1,0.000447,20,1
1160,6,-5,-64.078,0.149,4.160101091,0.03124,0.001127,0.05343,0,-1,0.000504,20,1.1
1265,6,-5,-65.341,0.1477,4.179619711,0.02941,0.001093,0.06182,0,-1,0.000583,20,1.2
1370,6,-5,-66.77,0.1463,4.201253878,0.02729,0.001055,0.06891,0,-1,0.00065,20,1.3
1475,6,-5,-68.262,0.1448,4.223353243,0.02513,0.001015,0.07475,0,-1,0.000704,20,1.4
1580,6,-5,-69.82,0.1432,4.245920502,0.02278,0.0009725,0.0791,0,-1,0.000746,20,1.5
1685,6,-5,-71.667,0.1413,4.272030391,0.02024,0.0009262,0.08628,0,-1,0.000813,20,1.6
1790,6,-5,-73.5,0.1395,4.297285406,0.01755,0.0008771,0.08929,0,-1,0.000842,20,1.7
1895,6,-5,-75.402,0.1376,4.3228338,0.01478,0.0008267,0.0913,0,-1,0.000861,20,1.8
2000,6,-5,-77.484,0.1361,4.350071463,0.0136,0.000794,0.09244,0,-1,0.000871,20,1.9
2105,6,-5,-79.25,0.1349,4.372607413,0.01281,0.000769,0.09079,0,-1,0.000856,20,2
2210,6,-5,-80.758,0.1339,4.391457028,0.01213,0.0007475,0.08764,0,-1,0.000826,20,2.1
2315,6,-5,-82.051,0.1331,4.407341005,0.01154,0.000729,0.08395,0,-1,0.000791,20,2.2
2420,6,-5,-83.177,0.1323,4.420970867,0.01104,0.000713,0.08014,0,-1,0.000755,20,2.3
2525,6,-5,-84.151,0.1317,4.432612804,0.0106,0.0006993,0.07712,0,-1,0.000727,20,2.4
2630,6,-5,-85.043,0.1311,4.443157011,0.01021,0.0006867,0.075,0,-1,0.000707,20,2.5
2735,6,-5,-85.933,0.1305,4.453567923,0.009811,0.0006743,0.07335,0,-1,0.000691,20,2.6
2840,6,-5,-86.766,0.1299,4.46321484,0.009431,0.0006622,0.07143,0,-1,0.000673,20,2.7
2945,6,-5,-87.595,0.1294,4.472723919,0.009062,0.0006506,0.06983,0,-1,0.000658,20,2.8
3050,6,-5,-88.393,0.1289,4.481792781,0.008677,0.0006384,0.06801,0,-1,0.000641,20,2.9
3155,6,-5,-89.178,0.1283,4.490634372,0.008349,0.000628,0.06658,0,-1,0.000628,20,3
3260,6,-5,-89.954,0.1278,4.499298429,0.008008,0.0006173,0.06531,0,-1,0.000616,20,3.1
3365,6,-5,-90.696,0.1273,4.507513255,0.007655,0.0006061,0.06385,0,-1,0.000602,20,3.2
3470,6,-5,-91.402,0.1269,4.51526736,0.007334,0.0005959,0.06245,0,-1,0.000589,20,3.3
3575,6,-5,-92.09,0.1264,4.52276636,0.007036,0.0005865,0.06119,0,-1,0.000577,20,3.4
3680,6,-5,-92.761,0.126,4.530026293,0.006733,0.0005769,0.06,0,-1,0.000566,20,3.5
3785,6,-5,-93.428,0.1255,4.537191086,0.006438,0.0005676,0.05893,0,-1,0.000555,20,3.6
3890,6,-5,-94.089,0.1251,4.544241143,0.006137,0.0005581,0.05772,0,-1,0.000544,20,3.7
3995,6,-5,-94.723,0.1247,4.550956843,0.00585,0.000549,0.05648,0,-1,0.000532,20,3.8
4100,6,-5,-95.319,0.1243,4.557229161,0.005572,0.0005402,0.05522,0,-1,0.00052,20,3.9
4205,6,-5,-96.042,0.1239,4.564785596,0.005441,0.0005343,0.05464,0,-1,0.000515,20,4
4310,6,-5,-96.713,0.1236,4.57174783,0.005349,0.0005292,0.05397,0,-1,0.000509,20,4.1
4415,6,-5,-97.36,0.1233,4.578415449,0.005263,0.0005245,0.05333,0,-1,0.000503,20,4.2
4520,6,-5,-97.994,0.1231,4.584906252,0.005174,0.0005196,0.05252,0,-1,0.000495,20,4.3
4625,6,-5,-98.588,0.1228,4.59094955,0.005092,0.0005151,0.05167,0,-1,0.000487,20,4.4
4730,6,-5,-99.167,0.1226,4.596805298,0.005013,0.0005109,0.05083,0,-1,0.000479,20,4.5
4835,6,-5,-99.728,0.1223,4.60244648,0.004936,0.0005066,0.04999,0,-1,0.000471,20,4.6
4940,6,-5,-100.281,0.1221,4.607976245,0.004861,0.0005025,0.04916,0,-1,0.000463,20,4.7
5045,6,-5,-100.812,0.1218,4.613257396,0.004787,0.0004985,0.04831,0,-1,0.000455,20,4.8
5150,6,-5,-101.332,0.1216,4.618402255,0.004717,0.0004946,0.04751,0,-1,0.000448,20,4.9
5255,6,-5,-101.833,0.1214,4.623334217,0.004648,0.0004909,0.04672,0,-1,0.00044,20,5
5360,6,-5,-102.324,0.1212,4.62814425,0.004581,0.0004872,0.04594,0,-1,0.000433,20,5.1
5465,6,-5,-102.794,0.121,4.632726986,0.004516,0.0004836,0.04517,0,-1,0.000426,20,5.2
5570,6,-5,-103.256,0.1208,4.637211342,0.004453,0.0004802,0.04441,0,-1,0.000419,20,5.3
5675,6,-5,-103.702,0.1206,4.641521401,0.004391,0.0004769,0.04367,0,-1,0.000412,20,5.4
5780,6,-5,-104.143,0.1204,4.645764955,0.004331,0.0004736,0.04293,0,-1,0.000405,20,5.5
5885,6,-5,-104.568,0.1202,4.649837577,0.004273,0.0004704,0.04219,0,-1,0.000398,20,5.6
5990,6,-5,-104.989,0.12,4.653855583,0.004216,0.0004672,0.04145,0,-1,0.000391,20,5.7
6095,6,-5,-105.387,0.1198,4.657639289,0.00416,0.0004642,0.04081,0,-1,0.000385,20,5.8
6200,6,-5,-105.761,0.1197,4.661181831,0.00411,0.0004614,0.04022,0,-1,0.000379,20,5.9
6305,6,-5,-106.111,0.1195,4.664485716,0.004061,0.0004588,0.03965,0,-1,0.000374,20,6
6410,6,-5,-106.441,0.1194,4.667590841,0.004015,0.0004563,0.03909,0,-1,0.000368,20,6.1
6515,6,-5,-106.807,0.1192,4.671023467,0.003966,0.0004536,0.03878,0,-1,0.000366,20,6.2
6620,6,-5,-107.181,0.1191,4.674518994,0.003915,0.0004508,0.03839,0,-1,0.000362,20,6.3
6725,6,-5,-107.545,0.1189,4.677909365,0.003863,0.000448,0.03795,0,-1,0.000358,20,6.4
6830,6,-5,-107.897,0.1188,4.681177068,0.003813,0.0004452,0.03746,0,-1,0.000353,20,6.5
6935,6,-5,-108.239,0.1186,4.684341745,0.003765,0.0004426,0.037,0,-1,0.000349,20,6.6
7040,6,-5,-108.578,0.1185,4.687468809,0.003719,0.0004401,0.03657,0,-1,0.000345,20,6.7
7145,6,-5,-108.916,0.1183,4.690576943,0.003673,0.0004376,0.03616,0,-1,0.000341,20,6.8
7250,6,-5,-109.26,0.1182,4.693730363,0.003628,0.0004351,0.03579,0,-1,0.000337,20,6.9
7355,6,-5,-109.61,0.118,4.696928611,0.003582,0.0004326,0.03544,0,-1,0.000334,20,7
7460,6,-5,-109.961,0.1179,4.700125757,0.003534,0.00043,0.03508,0,-1,0.000331,20,7.1
7565,6,-5,-110.324,0.1177,4.703421491,0.003484,0.0004273,0.03477,0,-1,0.000328,20,7.2
7670,6,-5,-110.692,0.1175,4.70675157,0.003434,0.0004245,0.03446,0,-1,0.000325,20,7.3
7775,6,-5,-111.067,0.1174,4.710133623,0.003382,0.0004217,0.03416,0,-1,0.000322,20,7.4
7880,6,-5,-111.445,0.1172,4.713531196,0.003331,0.0004189,0.03385,0,-1,0.000319,20,7.5
7985,6,-5,-111.826,0.117,4.716944092,0.003278,0.000416,0.03354,0,-1,0.000316,20,7.6
8090,6,-5,-112.208,0.1169,4.720354292,0.003226,0.0004131,0.03322,0,-1,0.000313,20,7.7
8195,6,-5,-112.591,0.1167,4.723761784,0.003174,0.0004103,0.03291,0,-1,0.00031,20,7.8
8300,6,-5,-112.968,0.1166,4.727104593,0.003122,0.0004074,0.03262,0,-1,0.000307,20,7.9
8405,6,-5,-113.34,0.1164,4.730392151,0.003071,0.0004046,0.03233,0,-1,0.000305,20,8
8510,6,-5,-113.706,0.1162,4.73361617,0.003021,0.0004019,0.03205,0,-1,0.000302,20,8.1
8615,6,-5,-114.066,0.1161,4.736777228,0.002971,0.0003992,0.03178,0,-1,0.0003,20,8.2
8720,6,-5,-114.421,0.1159,4.739884629,0.002923,0.0003965,0.0315,0,-1,0.000297,20,8.3
8825,6,-5,-114.772,0.1158,4.742947552,0.002875,0.0003939,0.03123,0,-1,0.000294,20,8.4
8930,6,-5,-115.119,0.1156,4.745966376,0.002827,0.0003913,0.03096,0,-1,0.000292,20,8.5
9035,6,-5,-115.462,0.1155,4.748941471,0.00278,0.0003888,0.03069,0,-1,0.000289,20,8.6
9140,6,-5,-115.8,0.1153,4.751864565,0.002734,0.0003862,0.03041,0,-1,0.000287,20,8.7
9245,6,-5,-116.136,0.1152,4.754761918,0.002688,0.0003837,0.03014,0,-1,0.000284,20,8.8
9350,6,-5,-116.47,0.115,4.757633729,0.002642,0.0003812,0.02988,0,-1,0.000282,20,8.9
9455,6,-5,-116.802,0.1149,4.760480194,0.002596,0.0003787,0.02963,0,-1,0.000279,20,9
9560,6,-5,-117.134,0.1147,4.763318579,0.002551,0.0003762,0.02937,0,-1,0.000277,20,9.1
