,node,z,head,psi,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
15,16,-15,-47.181,3.853991269,0.1726,0.09917,0.001864,-0.01933,0,-1,-0.000182,20,0
120,16,-15,-47.381,3.858221304,0.1722,0.09634,0.001847,-0.01987,0,-1,-0.000187,20,0.1
225,16,-15,-47.595,3.862727714,0.1718,0.09415,0.001832,-0.02023,0,-1,-0.000191,20,0.2
330,16,-15,-47.815,3.867339398,0.1714,0.09313,0.001821,-0.02019,0,-1,-0.00019,20,0.3
435,16,-15,-48.042,3.872075628,0.1711,0.09209,0.00181,-0.01977,0,-1,-0.000186,20,0.4
540,16,-15,-48.283,3.877079532,0.1707,0.09099,0.001799,-0.01889,0,-1,-0.000178,20,0.5
645,16,-15,-48.55,3.882594195,0.1703,0.08977,0.001786,-0.01838,0,-1,-0.000173,20,0.6
750,16,-15,-48.821,3.888160548,0.1699,0.0885,0.001773,-0.01724,0,-1,-0.000163,20,0.7
855,16,-15,-49.102,3.893899767,0.1695,0.08721,0.001759,-0.01605,0,-1,-0.000151,20,0.8
960,16,-15,-49.397,3.899889694,0.169,0.08586,0.001745,-0.0151,0,-1,-0.000142,20,0.9
1065,16,-15,-49.695,3.905904324,0.1686,0.08447,0.001731,-0.01387,0,-1,-0.000131,20,1
1170,16,-15,-50.001,3.912043005,0.1681,0.08306,0.001716,-0.01272,0,-1,-0.00012,20,1.1
1275,16,-15,-50.316,3.918323118,0.1677,0.08161,0.001701,-0.0115,0,-1,-0.000108,20,1.2
1380,16,-15,-50.64,3.924741778,0.1672,0.08012,0.001685,-0.01002,0,-1,-9.44E-05,20,1.3
1485,16,-15,-50.976,3.931354934,0.1667,0.07857,0.001669,-0.008532,0,-1,-8.04E-05,20,1.4
1590,16,-15,-51.325,3.938177963,0.1661,0.07696,0.001652,-0.00683,0,-1,-6.44E-05,20,1.5
1695,16,-15,-51.685,3.945167604,0.1656,0.07531,0.001635,-0.005039,0,-1,-4.75E-05,20,1.6
1800,16,-15,-52.053,3.95226243,0.165,0.07362,0.001617,-0.003258,0,-1,-3.07E-05,20,1.7
1905,16,-15,-52.432,3.959517092,0.1645,0.07187,0.001599,-0.001364,0,-1,-1.29E-05,20,1.8
2010,16,-15,-52.823,3.966946702,0.1639,0.07007,0.00158,0.0004843,0,-1,4.56E-06,20,1.9
2115,16,-15,-53.22,3.974434266,0.1633,0.06824,0.001561,0.002281,0,-1,2.15E-05,20,2
2220,16,-15,-53.625,3.982015377,0.1627,0.06637,0.001541,0.004098,0,-1,3.86E-05,20,2.1
2325,16,-15,-54.034,3.989613478,0.1621,0.06449,0.001522,0.005728,0,-1,5.40E-05,20,2.2
2430,16,-15,-54.443,3.997154283,0.1614,0.06261,0.001502,0.007176,0,-1,6.76E-05,20,2.3
2535,16,-15,-54.852,4.004638649,0.1608,0.06072,0.001482,0.008554,0,-1,8.06E-05,20,2.4
2640,16,-15,-55.255,4.011958834,0.1602,0.05886,0.001463,0.009662,0,-1,9.11E-05,20,2.5
2745,16,-15,-55.652,4.019118016,0.1596,0.05704,0.001444,0.01058,0,-1,9.97E-05,20,2.6
2850,16,-15,-56.051,4.026261991,0.159,0.05521,0.001424,0.01165,0,-1,0.00011,20,2.7
2955,16,-15,-56.441,4.033195845,0.1584,0.0534,0.001405,0.01243,0,-1,0.000117,20,2.8
3060,16,-15,-56.825,4.03997637,0.1579,0.05164,0.001387,0.01307,0,-1,0.000123,20,2.9
3165,16,-15,-57.205,4.046641307,0.1573,0.04989,0.001369,0.01371,0,-1,0.000129,20,3
3270,16,-15,-57.586,4.053279483,0.1567,0.04813,0.00135,0.01448,0,-1,0.000136,20,3.1
3375,16,-15,-57.96,4.059753117,0.1561,0.04641,0.001332,0.01497,0,-1,0.000141,20,3.2
3480,16,-15,-58.326,4.066047963,0.1556,0.04473,0.001315,0.01535,0,-1,0.000145,20,3.3
3585,16,-15,-58.702,4.072473798,0.155,0.04301,0.001297,0.0162,0,-1,0.000153,20,3.4
3690,16,-15,-59.076,4.078824751,0.1545,0.04127,0.001278,0.0167,0,-1,0.000157,20,3.5
3795,16,-15,-59.435,4.084883278,0.1539,0.03961,0.001261,0.01693,0,-1,0.00016,20,3.6
3900,16,-15,-59.792,4.090871873,0.1534,0.03799,0.001244,0.01707,0,-1,0.000161,20,3.7
4005,16,-15,-60.164,4.097074167,0.1529,0.03695,0.001231,0.01728,0,-1,0.000163,20,3.8
4110,16,-15,-60.521,4.102990412,0.1526,0.03641,0.001221,0.01745,0,-1,0.000164,20,3.9
4215,16,-15,-60.873,4.108789727,0.1522,0.03592,0.001212,0.01755,0,-1,0.000165,20,4
4320,16,-15,-61.21,4.114310575,0.1519,0.03542,0.001203,0.01762,0,-1,0.000166,20,4.1
4425,16,-15,-61.547,4.119801111,0.1515,0.03493,0.001194,0.01748,0,-1,0.000165,20,4.2
4530,16,-15,-61.89,4.125358616,0.1512,0.03444,0.001185,0.01725,0,-1,0.000163,20,4.3
4635,16,-15,-62.216,4.130612201,0.1509,0.03396,0.001176,0.01724,0,-1,0.000163,20,4.4
4740,16,-15,-62.536,4.135742391,0.1505,0.0335,0.001168,0.01723,0,-1,0.000162,20,4.5
4845,16,-15,-62.849,4.140735024,0.1502,0.03304,0.00116,0.01714,0,-1,0.000162,20,4.6
4950,16,-15,-63.167,4.145782013,0.1499,0.03258,0.001151,0.01697,0,-1,0.00016,20,4.7
5055,16,-15,-63.477,4.150677636,0.1496,0.03212,0.001143,0.01692,0,-1,0.000159,20,4.8
5160,16,-15,-63.783,4.155486697,0.1493,0.03168,0.001135,0.01691,0,-1,0.000159,20,4.9
5265,16,-15,-64.079,4.160116697,0.149,0.03125,0.001127,0.01687,0,-1,0.000159,20,5
5370,16,-15,-64.378,4.16477196,0.1487,0.03082,0.001119,0.01671,0,-1,0.000158,20,5.1
5475,16,-15,-64.67,4.169297415,0.1484,0.03039,0.001111,0.01659,0,-1,0.000156,20,5.2
5580,16,-15,-64.957,4.173725513,0.1481,0.02997,0.001104,0.01649,0,-1,0.000155,20,5.3
5685,16,-15,-65.237,4.178026793,0.1478,0.02957,0.001096,0.01641,0,-1,0.000155,20,5.4
5790,16,-15,-65.516,4.182294388,0.1475,0.02916,0.001089,0.01631,0,-1,0.000154,20,5.5
5895,16,-15,-65.792,4.18649825,0.1473,0.02876,0.001081,0.01621,0,-1,0.000153,20,5.6
6000,16,-15,-66.067,4.190669379,0.147,0.02836,0.001074,0.01612,0,-1,0.000152,20,5.7
6105,16,-15,-66.335,4.194717661,0.1467,0.02797,0.001067,0.01604,0,-1,0.000151,20,5.8
6210,16,-15,-66.601,4.198719592,0.1464,0.02759,0.00106,0.01595,0,-1,0.00015,20,5.9
6315,16,-15,-66.862,4.202630794,0.1462,0.0272,0.001053,0.01583,0,-1,0.000149,20,6
6420,16,-15,-67.118,4.206452264,0.1459,0.02683,0.001046,0.0157,0,-1,0.000148,20,6.1
6525,16,-15,-67.374,4.210259187,0.1457,0.02646,0.00104,0.01559,0,-1,0.000147,20,6.2
6630,16,-15,-67.624,4.21396295,0.1454,0.02609,0.001033,0.01549,0,-1,0.000146,20,6.3
6735,16,-15,-67.873,4.217638312,0.1452,0.02573,0.001026,0.01542,0,-1,0.000145,20,6.4
6840,16,-15,-68.122,4.221300215,0.1449,0.02537,0.00102,0.01536,0,-1,0.000145,20,6.5
6945,16,-15,-68.367,4.224890252,0.1447,0.02501,0.001013,0.01529,0,-1,0.000144,20,6.6
