,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
0,1.0,0.0,-2075.729,0.1502,1.215e-05,1.656e-05,0.001124,0.0,-1.0,0.000104,20.0,0.0
1,2.0,-1.0,-1986.534,0.1516,1.334e-05,1.741e-05,0.001164,0.0,-1.0,0.000108,20.0,0.0
2,3.0,-2.0,-1902.614,0.1532,1.571e-05,1.864e-05,0.001268,0.0,-1.0,0.000117,20.0,0.0
3,4.0,-3.0,-1823.573,0.1548,1.84e-05,1.995e-05,0.001388,0.0,-1.0,0.000129,20.0,0.0
4,5.0,-4.0,-1749.049,0.1563,2.093e-05,2.119e-05,0.00149,0.0,-1.0,0.000138,20.0,0.0
5,6.0,-5.0,-1678.714,0.1578,2.333e-05,2.236e-05,0.001567,0.0,-1.0,0.000145,20.0,0.0
6,7.0,-6.0,-1612.27,0.1592,2.559e-05,2.347e-05,0.001629,0.0,-1.0,0.000151,20.0,0.0
7,8.0,-7.0,-1549.44,0.1605,2.805e-05,2.459e-05,0.001724,0.0,-1.0,0.00016,20.0,0.0
8,9.0,-8.0,-1489.977,0.1622,3.318e-05,2.631e-05,0.00188,0.0,-1.0,0.000174,20.0,0.0
9,10.0,-9.0,-1433.649,0.1638,3.804e-05,2.794e-05,0.002042,0.0,-1.0,0.000189,20.0,0.0
10,11.0,-10.0,-1380.246,0.1654,4.264e-05,2.949e-05,0.00217,0.0,-1.0,0.000201,20.0,0.0
11,12.0,-11.0,-1329.574,0.1668,4.701e-05,3.095e-05,0.00227,0.0,-1.0,0.00021,20.0,0.0
12,13.0,-12.0,-1281.456,0.1682,5.116e-05,3.235e-05,0.002345,0.0,-1.0,0.000217,20.0,0.0
13,14.0,-13.0,-1235.727,0.1695,5.511e-05,3.367e-05,0.002456,0.0,-1.0,0.000227,20.0,0.0
14,15.0,-14.0,-1192.236,0.1712,6.422e-05,3.579e-05,0.002656,0.0,-1.0,0.000246,20.0,0.0
15,16.0,-15.0,-1150.842,0.1728,7.326e-05,3.787e-05,0.002878,0.0,-1.0,0.000267,20.0,0.0
16,17.0,-16.0,-1111.418,0.1744,8.186e-05,3.985e-05,0.003062,0.0,-1.0,0.000284,20.0,0.0
17,18.0,-17.0,-1073.842,0.1759,9.007e-05,4.174e-05,0.003209,0.0,-1.0,0.000297,20.0,0.0
18,19.0,-18.0,-1038.005,0.1773,9.789e-05,4.354e-05,0.003324,0.0,-1.0,0.000308,20.0,0.0
19,20.0,-19.0,-1003.804,0.1787,0.0001054,4.525e-05,0.003427,0.0,-1.0,0.000317,20.0,0.0
20,21.0,-20.0,-971.142,0.18,0.0001144,4.711e-05,0.003598,0.0,-1.0,0.000333,20.0,0.0
21,22.0,-21.0,-939.931,0.1818,0.0001316,4.982e-05,0.003875,0.0,-1.0,0.000359,20.0,0.0
22,23.0,-22.0,-910.09,0.1834,0.0001481,5.241e-05,0.004165,0.0,-1.0,0.000386,20.0,0.0
23,24.0,-23.0,-881.54,0.1849,0.0001638,5.489e-05,0.004403,0.0,-1.0,0.000408,20.0,0.0
24,25.0,-24.0,-854.21,0.1864,0.0001788,5.726e-05,0.004597,0.0,-1.0,0.000426,20.0,0.0
25,26.0,-25.0,-828.034,0.1879,0.0001933,5.954e-05,0.004753,0.0,-1.0,0.00044,20.0,0.0
26,27.0,-26.0,-802.949,0.1892,0.0002071,6.172e-05,0.004874,0.0,-1.0,0.000451,20.0,0.0
27,28.0,-27.0,-778.897,0.1905,0.0002203,6.38e-05,0.00505,0.0,-1.0,0.000468,20.0,0.0
28,29.0,-28.0,-755.823,0.1922,0.0002484,6.696e-05,0.005375,0.0,-1.0,0.000498,20.0,0.0
29,30.0,-29.0,-733.676,0.1938,0.0002791,7.027e-05,0.005766,0.0,-1.0,0.000534,20.0,0.0
30,31.0,-30.0,-712.409,0.1954,0.0003085,7.345e-05,0.006112,0.0,-1.0,0.000566,20.0,0.0
31,32.0,-31.0,-691.975,0.197,0.0003368,7.65e-05,0.006401,0.0,-1.0,0.000593,20.0,0.0
32,33.0,-32.0,-672.335,0.1985,0.000364,7.944e-05,0.006638,0.0,-1.0,0.000615,20.0,0.0
33,34.0,-33.0,-653.447,0.1999,0.0003901,8.226e-05,0.00683,0.0,-1.0,0.000632,20.0,0.0
34,35.0,-34.0,-635.275,0.2012,0.0004153,8.498e-05,0.006982,0.0,-1.0,0.000646,20.0,0.0
35,36.0,-35.0,-617.783,0.2026,0.0004395,8.759e-05,0.007202,0.0,-1.0,0.000667,20.0,0.0
36,37.0,-36.0,-600.94,0.2042,0.0004891,9.145e-05,0.007615,0.0,-1.0,0.000705,20.0,0.0
37,38.0,-37.0,-584.714,0.2058,0.0005452,9.559e-05,0.008126,0.0,-1.0,0.000752,20.0,0.0
38,39.0,-38.0,-569.076,0.2075,0.0005993,9.958e-05,0.008591,0.0,-1.0,0.000795,20.0,0.0
39,40.0,-39.0,-553.998,0.209,0.0006515,0.0001034,0.008984,0.0,-1.0,0.000832,20.0,0.0
40,41.0,-40.0,-539.456,0.2105,0.0007018,0.0001072,0.009313,0.0,-1.0,0.000862,20.0,0.0
41,42.0,-41.0,-525.423,0.212,0.0007504,0.0001107,0.009585,0.0,-1.0,0.000888,20.0,0.0
42,43.0,-42.0,-511.877,0.2133,0.0007972,0.0001142,0.009806,0.0,-1.0,0.000908,20.0,0.0
43,44.0,-43.0,-498.796,0.2147,0.0008425,0.0001175,0.009982,0.0,-1.0,0.000924,20.0,0.0
44,45.0,-44.0,-486.16,0.216,0.0008867,0.0001208,0.01029,0.0,-1.0,0.000953,20.0,0.0
45,46.0,-45.0,-473.949,0.2177,0.0009915,0.0001261,0.01089,0.0,-1.0,0.00101,20.0,0.0
46,47.0,-46.0,-462.145,0.2194,0.001093,0.0001312,0.01158,0.0,-1.0,0.00107,20.0,0.0
47,48.0,-47.0,-450.729,0.221,0.001191,0.0001361,0.01216,0.0,-1.0,0.00113,20.0,0.0
48,49.0,-48.0,-439.687,0.2225,0.001286,0.0001409,0.01267,0.0,-1.0,0.00117,20.0,0.0
49,50.0,-49.0,-429.0,0.224,0.001377,0.0001455,0.01309,0.0,-1.0,0.00121,20.0,0.0
50,51.0,-50.0,-418.656,0.2255,0.001466,0.00015,0.01345,0.0,-1.0,0.00125,20.0,0.0
51,52.0,-51.0,-408.638,0.2269,0.001552,0.0001543,0.01374,0.0,-1.0,0.00127,20.0,0.0
52,53.0,-52.0,-398.936,0.2283,0.001635,0.0001585,0.01397,0.0,-1.0,0.00129,20.0,0.0
53,54.0,-53.0,-389.534,0.2296,0.001716,0.0001626,0.01428,0.0,-1.0,0.00132,20.0,0.0
54,55.0,-54.0,-380.421,0.2311,0.001856,0.000168,0.01488,0.0,-1.0,0.00138,20.0,0.0
55,56.0,-55.0,-371.586,0.2328,0.002042,0.0001743,0.01571,0.0,-1.0,0.00145,20.0,0.0
56,57.0,-56.0,-363.018,0.2344,0.002223,0.0001805,0.01652,0.0,-1.0,0.00153,20.0,0.0
57,58.0,-57.0,-354.705,0.236,0.002398,0.0001866,0.01722,0.0,-1.0,0.00159,20.0,0.0
58,59.0,-58.0,-346.639,0.2376,0.002568,0.0001924,0.01782,0.0,-1.0,0.00165,20.0,0.0
59,60.0,-59.0,-338.81,0.2391,0.002733,0.0001981,0.01834,0.0,-1.0,0.0017,20.0,0.0
60,61.0,-60.0,-331.207,0.2405,0.002893,0.0002036,0.01877,0.0,-1.0,0.00174,20.0,0.0
61,62.0,-61.0,-323.824,0.2419,0.003049,0.0002089,0.01913,0.0,-1.0,0.00177,20.0,0.0
62,63.0,-62.0,-316.652,0.2433,0.0032,0.0002141,0.01941,0.0,-1.0,0.0018,20.0,0.0
63,64.0,-63.0,-309.682,0.2446,0.003347,0.0002191,0.01975,0.0,-1.0,0.00183,20.0,0.0
64,65.0,-64.0,-302.907,0.2461,0.003564,0.0002252,0.0204,0.0,-1.0,0.00189,20.0,0.0
65,66.0,-65.0,-296.321,0.2478,0.003901,0.000233,0.02141,0.0,-1.0,0.00198,20.0,0.0
66,67.0,-66.0,-289.916,0.2494,0.004228,0.0002407,0.02246,0.0,-1.0,0.00208,20.0,0.0
67,68.0,-67.0,-283.685,0.251,0.004546,0.0002481,0.02337,0.0,-1.0,0.00216,20.0,0.0
68,69.0,-68.0,-277.623,0.2526,0.004855,0.0002553,0.02416,0.0,-1.0,0.00224,20.0,0.0
69,70.0,-69.0,-271.723,0.2541,0.005157,0.0002623,0.02484,0.0,-1.0,0.0023,20.0,0.0
70,71.0,-70.0,-265.98,0.2556,0.00545,0.0002691,0.02542,0.0,-1.0,0.00235,20.0,0.0
71,72.0,-71.0,-260.389,0.257,0.005736,0.0002758,0.0259,0.0,-1.0,0.0024,20.0,0.0
72,73.0,-72.0,-254.943,0.2584,0.006014,0.0002823,0.02629,0.0,-1.0,0.00243,20.0,0.0
73,74.0,-73.0,-249.638,0.2598,0.006285,0.0002886,0.02661,0.0,-1.0,0.00246,20.0,0.0
74,75.0,-74.0,-244.469,0.2611,0.006548,0.0002948,0.02704,0.0,-1.0,0.0025,20.0,0.0
75,76.0,-75.0,-239.432,0.2626,0.006988,0.0003026,0.02791,0.0,-1.0,0.00258,20.0,0.0
76,77.0,-76.0,-234.522,0.2643,0.007584,0.000312,0.02916,0.0,-1.0,0.0027,20.0,0.0
77,78.0,-77.0,-229.735,0.2659,0.008166,0.0003212,0.03041,0.0,-1.0,0.00282,20.0,0.0
78,79.0,-78.0,-225.066,0.2675,0.008733,0.0003301,0.03151,0.0,-1.0,0.00292,20.0,0.0
79,80.0,-79.0,-220.512,0.2691,0.009287,0.0003388,0.03246,0.0,-1.0,0.00301,20.0,0.0
80,81.0,-80.0,-216.069,0.2706,0.009827,0.0003473,0.03328,0.0,-1.0,0.00308,20.0,0.0
81,82.0,-81.0,-211.734,0.2721,0.01035,0.0003556,0.03397,0.0,-1.0,0.00315,20.0,0.0
82,83.0,-82.0,-207.502,0.2735,0.01087,0.0003638,0.03455,0.0,-1.0,0.0032,20.0,0.0
83,84.0,-83.0,-203.371,0.2749,0.01137,0.0003717,0.03502,0.0,-1.0,0.00324,20.0,0.0
84,85.0,-84.0,-199.338,0.2763,0.01186,0.0003794,0.0354,0.0,-1.0,0.00328,20.0,0.0
85,86.0,-85.0,-195.399,0.2777,0.01234,0.0003869,0.03571,0.0,-1.0,0.00331,20.0,0.0
86,87.0,-86.0,-191.551,0.279,0.01285,0.0003946,0.03638,0.0,-1.0,0.00337,20.0,0.0
87,88.0,-87.0,-187.791,0.2807,0.01391,0.0004058,0.03774,0.0,-1.0,0.00349,20.0,0.0
