node,z,head,psi,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
6,-5,-1678.714,7.425783303,0.1578,2.33E-05,2.24E-05,0.001567,0,-1,0.000145,20,0
6,-5,-1678.391,7.425590875,0.1578,2.33E-05,2.24E-05,0.001567,0,-1,0.000145,20,0.1
6,-5,-1678.061,7.425394239,0.1578,2.34E-05,2.24E-05,0.001567,0,-1,0.000145,20,0.2
6,-5,-1677.727,7.42519518,0.1578,2.34E-05,2.24E-05,0.001568,0,-1,0.000145,20,0.3
6,-5,-1677.404,7.425002639,0.1578,2.34E-05,2.24E-05,0.001571,0,-1,0.000145,20,0.4
6,-5,-1677.13,7.424839278,0.1578,2.34E-05,2.24E-05,0.001578,0,-1,0.000146,20,0.5
6,-5,-1676.953,7.424733735,0.1578,2.34E-05,2.24E-05,0.001593,0,-1,0.000148,20,0.6
6,-5,-1676.886,7.424693781,0.1578,2.34E-05,2.24E-05,0.001613,0,-1,0.000149,20,0.7
6,-5,-1677.002,7.424762954,0.1578,2.34E-05,2.24E-05,0.001641,0,-1,0.000152,20,0.8
6,-5,-1677.293,7.424936463,0.1578,2.34E-05,2.24E-05,0.001675,0,-1,0.000155,20,0.9
6,-5,-1677.792,7.425233922,0.1578,2.34E-05,2.24E-05,0.001714,0,-1,0.000159,20,1
6,-5,-1678.496,7.425653433,0.1578,2.33E-05,2.24E-05,0.001756,0,-1,0.000163,20,1.1
6,-5,-1679.406,7.426195438,0.1578,2.33E-05,2.24E-05,0.001801,0,-1,0.000167,20,1.2
6,-5,-1680.516,7.426856168,0.1578,2.33E-05,2.23E-05,0.001849,0,-1,0.000171,20,1.3
6,-5,-1681.817,7.427630036,0.1577,2.32E-05,2.23E-05,0.001897,0,-1,0.000176,20,1.4
6,-5,-1683.331,7.428529847,0.1577,2.32E-05,2.23E-05,0.001951,0,-1,0.000181,20,1.5
6,-5,-1685.062,7.429557637,0.1577,2.31E-05,2.23E-05,0.002007,0,-1,0.000186,20,1.6
6,-5,-1687.01,7.43071301,0.1576,2.31E-05,2.22E-05,0.002066,0,-1,0.000191,20,1.7
6,-5,-1689.163,7.431988419,0.1576,2.30E-05,2.22E-05,0.002126,0,-1,0.000197,20,1.8
6,-5,-1691.509,7.433376309,0.1575,2.29E-05,2.22E-05,0.002186,0,-1,0.000202,20,1.9
6,-5,-1694.027,7.434863814,0.1575,2.28E-05,2.21E-05,0.002246,0,-1,0.000208,20,2
6,-5,-1696.699,7.436439878,0.1574,2.27E-05,2.21E-05,0.002304,0,-1,0.000213,20,2.1
6,-5,-1699.502,7.438090546,0.1574,2.26E-05,2.20E-05,0.00236,0,-1,0.000219,20,2.2
6,-5,-1702.418,7.439804872,0.1573,2.25E-05,2.20E-05,0.002414,0,-1,0.000224,20,2.3
6,-5,-1705.426,7.441570212,0.1572,2.24E-05,2.19E-05,0.002466,0,-1,0.000228,20,2.4
6,-5,-1708.509,7.443376339,0.1572,2.23E-05,2.19E-05,0.002515,0,-1,0.000233,20,2.5
6,-5,-1711.649,7.445212512,0.1571,2.22E-05,2.18E-05,0.002561,0,-1,0.000237,20,2.6
6,-5,-1714.831,7.447069812,0.1571,2.21E-05,2.18E-05,0.002605,0,-1,0.000241,20,2.7
6,-5,-1718.043,7.448941131,0.157,2.20E-05,2.17E-05,0.002647,0,-1,0.000245,20,2.8
6,-5,-1721.27,7.450817669,0.1569,2.19E-05,2.17E-05,0.002686,0,-1,0.000249,20,2.9
6,-5,-1724.504,7.452694752,0.1569,2.18E-05,2.16E-05,0.002722,0,-1,0.000252,20,3
6,-5,-1727.737,7.454567739,0.1568,2.17E-05,2.16E-05,0.002756,0,-1,0.000255,20,3.1
6,-5,-1730.962,7.456432602,0.1567,2.16E-05,2.15E-05,0.002788,0,-1,0.000258,20,3.2
6,-5,-1734.175,7.458287075,0.1567,2.14E-05,2.14E-05,0.002819,0,-1,0.000261,20,3.3
6,-5,-1737.369,7.460127179,0.1566,2.13E-05,2.14E-05,0.002847,0,-1,0.000264,20,3.4
6,-5,-1740.542,7.461951838,0.1565,2.12E-05,2.13E-05,0.002874,0,-1,0.000266,20,3.5
