 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 1.2023    Time:   9:39:43
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -2075.729 0.1502   0.1215E-04  0.1656E-04  0.1124E-02  0.0000E+00      -1   0.104E-03   20.00
   2    -1.0000   -1986.534 0.1516   0.1334E-04  0.1741E-04  0.1164E-02  0.0000E+00      -1   0.108E-03   20.00
   3    -2.0000   -1902.614 0.1532   0.1571E-04  0.1864E-04  0.1268E-02  0.0000E+00      -1   0.117E-03   20.00
   4    -3.0000   -1823.573 0.1548   0.1840E-04  0.1995E-04  0.1388E-02  0.0000E+00      -1   0.129E-03   20.00
   5    -4.0000   -1749.049 0.1563   0.2093E-04  0.2119E-04  0.1490E-02  0.0000E+00      -1   0.138E-03   20.00
   6    -5.0000   -1678.714 0.1578   0.2333E-04  0.2236E-04  0.1567E-02  0.0000E+00      -1   0.145E-03   20.00
   7    -6.0000   -1612.270 0.1592   0.2559E-04  0.2347E-04  0.1629E-02  0.0000E+00      -1   0.151E-03   20.00
   8    -7.0000   -1549.440 0.1605   0.2805E-04  0.2459E-04  0.1724E-02  0.0000E+00      -1   0.160E-03   20.00
   9    -8.0000   -1489.977 0.1622   0.3318E-04  0.2631E-04  0.1880E-02  0.0000E+00      -1   0.174E-03   20.00
  10    -9.0000   -1433.649 0.1638   0.3804E-04  0.2794E-04  0.2042E-02  0.0000E+00      -1   0.189E-03   20.00
  11   -10.0000   -1380.246 0.1654   0.4264E-04  0.2949E-04  0.2170E-02  0.0000E+00      -1   0.201E-03   20.00
  12   -11.0000   -1329.574 0.1668   0.4701E-04  0.3095E-04  0.2270E-02  0.0000E+00      -1   0.210E-03   20.00
  13   -12.0000   -1281.456 0.1682   0.5116E-04  0.3235E-04  0.2345E-02  0.0000E+00      -1   0.217E-03   20.00
  14   -13.0000   -1235.727 0.1695   0.5511E-04  0.3367E-04  0.2456E-02  0.0000E+00      -1   0.227E-03   20.00
  15   -14.0000   -1192.236 0.1712   0.6422E-04  0.3579E-04  0.2656E-02  0.0000E+00      -1   0.246E-03   20.00
