 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 1.2023    Time:   9:39:43
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    2        2    -4    -5     T
        2  0.2300000E-02  0.13000E-02    2        4    -4    -5     T
        3  0.3990000E-02  0.16900E-02    2        6    -4    -5     T
        4  0.6187000E-02  0.21970E-02    2        8    -4    -5     T
        5  0.9043100E-02  0.28561E-02    2       10    -4    -5     T
        6  0.1275603E-01  0.37129E-02    2       12    -4    -5     T
        7  0.1758284E-01  0.48268E-02    2       14    -4    -5     T
        8  0.2385769E-01  0.62749E-02    2       16    -4    -5     T
        9  0.3231795E-01  0.84603E-02    2       18    -4    -5     T
       10  0.4359829E-01  0.11280E-01    2       20    -4    -5     T
       11  0.5769872E-01  0.14100E-01    2       22    -4    -5     T
       12  0.7884936E-01  0.21151E-01    2       24    -4    -5     T
       13  0.1000000E+00  0.21151E-01    2       26    -4    -5     T
       14  0.1250000E+00  0.25000E-01    2       28    -4    -5     T
       15  0.1625000E+00  0.37500E-01    2       30    -4    -5     T
       16  0.2000000E+00  0.37500E-01    2       32    -4    -5     T
       17  0.2333333E+00  0.33333E-01    2       34    -4    -5     T
       18  0.3000000E+00  0.66667E-01    3       37    -4    -5     T
       19  0.3500000E+00  0.50000E-01    2       39    -4    -5     T
       20  0.4000000E+00  0.50000E-01    2       41    -4    -5     T
       21  0.5000000E+00  0.10000E+00    3       44    -4    -5     T
       22  0.6000000E+00  0.10000E+00    2       46    -4    -5     T
       23  0.7000000E+00  0.10000E+00    3       49     4    -5     T
       24  0.8000000E+00  0.10000E+00    2       51     4    -5     T
       25  0.9000000E+00  0.10000E+00    2       53     4    -5     T
       26  0.1000000E+01  0.10000E+00    2       55     4    -5     T
       27  0.1100000E+01  0.10000E+00    2       57     4    -5     T
       28  0.1200000E+01  0.10000E+00    2       59     4    -5     T
       29  0.1300000E+01  0.10000E+00    2       61     4    -5     T
       30  0.1400000E+01  0.10000E+00    2       63     4    -5     T
       31  0.1500000E+01  0.10000E+00    2       65     4    -5     T
       32  0.1600000E+01  0.10000E+00    2       67     4    -5     T
       33  0.1700000E+01  0.10000E+00    2       69     4    -5     T
       34  0.1800000E+01  0.10000E+00    2       71     4    -5     T
       35  0.1900000E+01  0.10000E+00    2       73     4    -5     T
       36  0.2000000E+01  0.10000E+00    2       75     4    -5     T
       37  0.2100000E+01  0.10000E+00    2       77     4    -5     T
       38  0.2200000E+01  0.10000E+00    2       79     4    -5     T
       39  0.2300000E+01  0.10000E+00    2       81     4    -5     T
       40  0.2400000E+01  0.10000E+00    2       83     4    -5     T
       41  0.2500000E+01  0.10000E+00    2       85     4    -5     T
       42  0.2600000E+01  0.10000E+00    2       87     4    -5     T
       43  0.2700000E+01  0.10000E+00    2       89     4    -5     T
       44  0.2800000E+01  0.10000E+00    2       91     4    -5     T
       45  0.2900000E+01  0.10000E+00    2       93     4    -5     T
       46  0.3000000E+01  0.10000E+00    2       95     4    -5     T
       47  0.3100000E+01  0.10000E+00    2       97     4    -5     T
       48  0.3200000E+01  0.10000E+00    2       99     4    -5     T
       49  0.3300000E+01  0.10000E+00    2      101     4    -5     T
       50  0.3400000E+01  0.10000E+00    2      103     4    -5     T
       51  0.3500000E+01  0.10000E+00    2      105     4    -5     T
       52  0.3600000E+01  0.10000E+00    2      107     4    -5     T
       53  0.3700000E+01  0.10000E+00    2      109     4    -5     T
       54  0.3800000E+01  0.10000E+00    2      111     4    -5     T
       55  0.3900000E+01  0.10000E+00    2      113     4    -5     T
       56  0.4000000E+01  0.10000E+00    2      115     4    -5     T
       57  0.4100000E+01  0.10000E+00    2      117     4    -5     T
       58  0.4200000E+01  0.10000E+00    2      119     4    -5     T
       59  0.4300000E+01  0.10000E+00    2      121     4    -5     T
       60  0.4400000E+01  0.10000E+00    2      123     4    -5     T
       61  0.4500000E+01  0.10000E+00    2      125     4    -5     T
       62  0.4600000E+01  0.10000E+00    2      127     4    -5     T
       63  0.4700000E+01  0.10000E+00    2      129     4    -5     T
       64  0.4800000E+01  0.10000E+00    2      131     4    -5     T
       65  0.4900000E+01  0.10000E+00    2      133     4    -5     T
       66  0.5000000E+01  0.10000E+00    2      135     4    -5     T
       67  0.5100000E+01  0.10000E+00    2      137     4    -5     T
       68  0.5200000E+01  0.10000E+00    2      139     4    -5     T
       69  0.5300000E+01  0.10000E+00    2      141     4    -5     T
       70  0.5400000E+01  0.10000E+00    2      143     4    -5     T
       71  0.5500000E+01  0.10000E+00    2      145     4    -5     T
       72  0.5600000E+01  0.10000E+00    2      147     4    -5     T
       73  0.5700000E+01  0.10000E+00    2      149     4    -5     T
       74  0.5800000E+01  0.10000E+00    2      151     4    -5     T
       75  0.5900000E+01  0.10000E+00    2      153     4    -5     T
       76  0.6000000E+01  0.10000E+00    2      155     4    -5     T
       77  0.6100000E+01  0.10000E+00    2      157     4    -5     T
       78  0.6200000E+01  0.10000E+00    2      159     4    -5     T
       79  0.6300000E+01  0.10000E+00    2      161     4    -5     T
       80  0.6400000E+01  0.10000E+00    2      163     4    -5     T
       81  0.6500000E+01  0.10000E+00    2      165     4    -5     T
       82  0.6600000E+01  0.10000E+00    2      167     4    -5     T
       83  0.6700000E+01  0.10000E+00    2      169     4    -5     T
       84  0.6800000E+01  0.10000E+00    2      171     4    -5     T
