node,z,head,psi,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
16,-15,-1150.842,7.048249127,0.1728,7.33E-05,3.79E-05,0.002878,0,-1,0.000267,20,0
16,-15,-1150.332,7.047805875,0.1729,7.34E-05,3.79E-05,0.002876,0,-1,0.000266,20,0.1
16,-15,-1149.83,7.047369384,0.1729,7.35E-05,3.79E-05,0.002874,0,-1,0.000266,20,0.2
16,-15,-1149.335,7.046938793,0.1729,7.36E-05,3.80E-05,0.002873,0,-1,0.000266,20,0.3
16,-15,-1148.849,7.046515851,0.1729,7.37E-05,3.80E-05,0.002872,0,-1,0.000266,20,0.4
16,-15,-1148.371,7.046099695,0.1729,7.38E-05,3.80E-05,0.002872,0,-1,0.000266,20,0.5
16,-15,-1147.9,7.045689465,0.173,7.39E-05,3.80E-05,0.002872,0,-1,0.000266,20,0.6
16,-15,-1147.435,7.045284295,0.173,7.40E-05,3.80E-05,0.002873,0,-1,0.000266,20,0.7
16,-15,-1146.98,7.04488768,0.173,7.41E-05,3.81E-05,0.002875,0,-1,0.000266,20,0.8
16,-15,-1146.529,7.044494396,0.173,7.42E-05,3.81E-05,0.002876,0,-1,0.000266,20,0.9
16,-15,-1146.085,7.044107066,0.173,7.43E-05,3.81E-05,0.002878,0,-1,0.000267,20,1
16,-15,-1145.645,7.043723076,0.173,7.44E-05,3.81E-05,0.002881,0,-1,0.000267,20,1.1
16,-15,-1145.21,7.043343305,0.1731,7.45E-05,3.82E-05,0.002883,0,-1,0.000267,20,1.2
16,-15,-1144.779,7.042966884,0.1731,7.46E-05,3.82E-05,0.002886,0,-1,0.000267,20,1.3
16,-15,-1144.35,7.042592069,0.1731,7.47E-05,3.82E-05,0.002888,0,-1,0.000267,20,1.4
16,-15,-1143.923,7.042218862,0.1731,7.48E-05,3.82E-05,0.002891,0,-1,0.000268,20,1.5
16,-15,-1143.499,7.041848139,0.1731,7.49E-05,3.82E-05,0.002894,0,-1,0.000268,20,1.6
16,-15,-1143.076,7.041478153,0.1732,7.50E-05,3.83E-05,0.002897,0,-1,0.000268,20,1.7
16,-15,-1142.655,7.041109781,0.1732,7.51E-05,3.83E-05,0.0029,0,-1,0.000269,20,1.8
